_c2,_c6
s3vjVl0K8y_UwYtZR7s_-A,5.0
8V9cZIM-SHxJ7lwUcdA-0g,5.0
p4sWA2Uqkpc4ZAoHP-5gGQ,5.0
YOw1yg8THktCCioY2q55_A,5.0
vD44i5mI1DM3IM0IumdTXQ,5.0
Et0qEP5K0oTCpAZ0aULmpw,5.0
9_Ao2wZQFV5dbfLcawIQ4g,5.0
b-Qv1Y1YTTfX_y8QOvvPMg,5.0
P_WjVwhQj35NanrTHVux0g,5.0
Yeo5cXxha6RQtv0vv_Y9ng,3.0
FvpsZ4JRdFmfYqB80eRp3A,5.0
VeWwn5GmPscJ8p3SL7c9Fg,5.0
yf62TirpzYEngoO0QCFzPg,4.0
MzNgWdq1xuiC5WAmHupRZg,5.0
sZo-AQkZgrcBjYKFlfB5nQ,5.0
X0B2na2skWYX2jDouv9F_w,5.0
obTn6TfipZC8yptvKkM8Mw,5.0
SSvJQNdFAjq3ZspcPv8PRw,4.0
Djk49JjpKl9HQNpmiX669Q,3.0
x2kIaq8x6Q2I6uJxmVg4cA,5.0
_K9sKlA4fVkWI4hyGSpoPA,2.0
spuLpDcMQOdixxBUrR2c1Q,5.0
B0Q2YqU3zmFKwLsLVy3BZw,5.0
gnNWePSXZs6xEpdwb1_cvQ,5.0
XVlGWWixcjjmLOigYXzmng,5.0
j5zC_LoOoXnQeFQp0s6dWg,5.0
V7uS5US4oTf-S9u36HJQCQ,1.0
E6P4OUGcj87vT9YQ2cgVDQ,5.0
fynYyNVdNBAmFSxOYht2zA,5.0
2KigmSMqEnGYrLGgfKLQ9A,5.0
_VTEyUzzH92X3w-IpGaXVA,5.0
x-t7rHvsXsDvFlZgXB8lWQ,1.0
P5bUL3Engv-2z6kKohB6qQ,4.0
W-k23QYJjbWmieyH6sWAMw,5.0
GeUUznA9b-POQ-ke4oNrZg,5.0
w6vojfyk7-gh3UzwcqnvpA,4.0
yskW12efr_7D63AEcIqC2w,4.0
FH79bierETA44QEW86mx1g,5.0
xCvMncULOuY22XPuYT_THw,5.0
aQXr07MXpNs9CuxZi7LxPA,5.0
aaI6WHIH8z_0jtsv-b1fdQ,5.0
sOzeK0dE0BYx4Mc8dmoenQ,5.0
qdieS2KVqTBO_9LcCVwWzQ,5.0
q5lmK9zVOh6EcW2HNIUbhA,5.0
MDgL16yrtX3Fn97u8ZQKKg,5.0
0juzbrgcLHqobdK-OZAyiw,5.0
kHmsmPI5AzOqzRuCqsV2Ng,5.0
fdwVdy6TuY1kjYeEPMZKVw,4.0
JwyLTteyTAoZMKJbk3fFxA,5.0
ZIowdUve-IjIN-EgQIwCLA,5.0
KRcarrlaABmgM-EzofCh_g,5.0
KK_hwlNUOoIIMFM33tczww,2.0
0bRYpZIvnS4f1b85yhj3TA,2.0
1jWX85cb5FAN78WbLJTUZA,4.0
TRnzbL9I_Fs7z74vPEDzuQ,5.0
_KIvL8QWHHZv8Giuf_pHlg,5.0
JnGtgOPpkjyWOvWM0SYEXg,4.0
OpTpHCablRGHeLhDhWiQSA,5.0
qEdxnnadZ2tcU9JOXjnGdw,5.0
ti5JXvrwgGYN_1z60I54xw,2.0
U4INQZOPSUaj8hMjLlZ3KA,5.0
8IZvten0AsI048cecDtupQ,5.0
RYCs_CBpZKY4_aKfbhZM3g,5.0
lkLJv1TB4sciwlW4g6x8qw,4.0
V-izfOO9Pyh_zNLsn7JASg,5.0
jX52sZoojxyYV2viWNyO7A,5.0
I2F4VyZGB0FW2JzzlKz37g,5.0
j75J-ZNGwHopAi8Ui85iEw,1.0
7Ax2hu_01E9mznK7H14JtQ,3.0
RqUJo6tjD8m4JEuZ37VN5g,5.0
9j3EILvGpHgoOy70rIP4XA,4.0
QE3l3G8M3d-icDMHtPyHIQ,4.0
Wd43YdZtztC169e2K_7jog,5.0
2gJ0FifyABaEQ92uEKNQnQ,5.0
6--9sGYj4t8Knt5BBiZvpw,5.0
Z_WAxc4RUpKp3y12BH1bEg,5.0
y4ybSBGqAgTuNzS8_6niLA,4.0
mCjFUY2xM2sUvEKdLCWrRQ,1.0
pR_5lhfJ4NmsFQDz_Ahkyw,4.0
gvYdMI_M6clQDGkrAvbRuA,4.0
G-uVT9JxNMbrPApvuVO6pg,5.0
w4VL01b4klRkUiOMpNUOsA,5.0
AMP14kl74ZmETwdNposPNw,5.0
4LgwgT3uCBDibrwqD1bvRA,4.0
28pnvxB_0NI3yiJ4vAYwGQ,4.0
SqVapHIKVeUw3a1Q7MK2mg,4.0
1WEHUvZ2Qqlc46_qHsOOFA,3.0
5kGjN-DcuD4eR8XnjEXnkA,5.0
1jWX85cb5FAN78WbLJTUZA,4.0
6pryBgYDVCmp1JudhoKpmg,5.0
c_9JTKu1SX-pb2dtzimWhA,5.0
81VIwNUOYQG4zTuSQEdkGw,5.0
nmE4iCpfc4q-ke_eDpayGA,1.0
ou49IB-dKqkDR1pep_mWPQ,5.0
OYKuUkXARtrPr1F9v5mkEQ,4.0
dCATwLTGaDZAbSFxA-4pkw,4.0
q6UCOzZHK3L4gpxgwM2V_w,4.0
KlC5BtqRxfRlY7OgTtPgoQ,4.0
N4wdu2ECcsLLLyMp-cQhgA,5.0
T6jCRh9Qi6bzAp-TG2Duvw,4.0
xiBGreimmO1XYqznZIwv1w,5.0
R87KHDjkopwoF8FODFW2HQ,5.0
HFZHPHHEIzn-gqTldIrbTQ,5.0
ojm14lh_LrlO_-XXHbu7AQ,5.0
IEf-45Hj56fWd3slUc3tGQ,5.0
9ynasN32yrC_Rl1jPWLoSQ,5.0
gbL6Ib0ZlDifREthciI7kQ,5.0
twV69QQrEZTxVwH20p-Nvg,5.0
H4BiIX0gU-Fc2S487g7z1Q,5.0
RavaLdA8umaLrNhE_0xC-g,5.0
bfoYY9RKX-adDkBr9NyQFg,5.0
sKAy3ZjAP_8-OiUwgE2QIA,5.0
